10,Yogi Ferrell\ferreyo01,PG,6-0,180,May 9 1993,us,R,Indiana University

7,Ersan Ilyasova\ilyaser01,PF,6-10,235,May 15 1987,tr,8,
4,Nerlens Noel\noelne01,C,6-11,228,April 10 1994,us,2,University of Kentucky
31,Hollis Thompson\thompho01,SG,6-8,206,April 3 1991,us,3,Georgetown University
11,Nik Stauskas\stausni01,SG,6-6,205,October 7 1993,ca,2,University of Michigan
21,Joel Embiid\embiijo01,C,7-0,250,March 16 1994,cm,R,University of Kansas
33,Robert Covington\covinro01,SF,6-9,215,December 14 1990,us,3,Tennessee State University
8,Jahlil Okafor\okafoja01,C,6-11,275,December 15 1995,us,1,Duke University
22,Richaun Holmes\holmeri01,PF,6-10,245,October 15 1993,us,1,Bowling Green State University
1,T.J. McConnell\mccontj01,PG,6-2,200,March 25 1992,us,1,University of Arizona
12,Gerald Henderson\hendege02,SG,6-5,215,December 9 1987,us,7,Duke University
25,Ben Simmons\simmobe01,F,6-10,240,July 20 1996,au,R,Louisiana State University
20,Timothe Luwawu-Cabarrot\luwawti01,SF,6-6,205,May 9 1995,fr,R,
14,Sergio Rodriguez\rodrise01,PG,6-3,176,June 12 1986,es,4,
9,Dario Saric\saricda01,PF,6-10,223,April 8 1994,hr,R,
0,Jerryd Bayless\bayleje01,PG,6-3,200,August 20 1988,us,8,University of Arizona

2,Kyrie Irving\irvinky01,PG,6-3,193,March 23 1992,au,5,Duke University
8,Channing Frye\fryech01,C,6-11,255,May 17 1983,us,10,University of Arizona
3,Mike Dunleavy\dunlemi02,SF,6-9,230,September 15 1980,us,14,Duke University
0,Kevin Love\loveke01,PF,6-10,251,September 7 1988,us,8,University of California Los Angeles
4,Iman Shumpert\shumpim01,SG,6-5,220,June 26 1990,us,5,Georgia Institute of Technology
52,Mo Williams\willima01,PG,6-1,198,December 19 1982,us,13,University of Alabama
13,Tristan Thompson\thomptr01,C,6-9,238,March 13 1991,ca,5,University of Texas at Austin
12,Jordan McRae\mcraejo01,SG,6-6,185,March 28 1991,us,1,University of Tennessee
00,Chris Andersen\anderch01,C,6-10,245,July 7 1978,us,14,Blinn College
24,Richard Jefferson\jefferi01,SF,6-7,233,June 21 1980,us,15,University of Arizona
14,DeAndre Liggins\liggide01,SG,6-6,209,March 31 1988,us,3,University of Kentucky
1,James Jones\jonesja02,SF,6-8,218,October 4 1980,us,13,University of Miami
20,Kay Felder\feldeka01,PG,5-9,176,March 29 1995,us,R,Oakland University
23,LeBron James\jamesle01,SF,6-8,250,December 30 1984,us,13,
5,J.R. Smith\smithjr01,SG,6-6,225,September 9 1985,us,12,

22,Taj Gibson\gibsota01,PF,6-9,225,June 24 1985,us,7,University of Southern California
44,Nikola Mirotic\mirotni01,PF,6-10,220,February 11 1991,me,2,
7,Michael Carter-Williams\cartemi01,PG,6-6,190,October 10 1991,us,3,Syracuse University
11,Doug McDermott\mcderdo01,SF,6-8,225,January 3 1992,us,2,Creighton University
2,Jerian Grant\grantje02,PG,6-4,195,October 9 1992,us,1,University of Notre Dame
5,Bobby Portis\portibo01,PF,6-11,230,February 10 1995,us,1,University of Arkansas
21,Jimmy Butler\butleji01,SF,6-7,220,September 14 1989,us,5,Marquette University
8,Robin Lopez\lopezro01,C,7-0,255,April 1 1988,us,8,Stanford University
6,Cristiano Felicio\feliccr01,C,6-10,275,July 7 1992,br,1,
9,Rajon Rondo\rondora01,PG,6-1,186,February 22 1986,us,10,University of Kentucky
3,Dwyane Wade\wadedw01,SG,6-4,220,January 17 1982,us,13,Marquette University
45,Denzel Valentine\valende01,SG,6-6,212,November 16 1993,us,R,Michigan State University
16,Paul Zipser\zipsepa01,SF,6-8,215,February 18 1994,de,R,
0,Isaiah Canaan\canaais01,SG,6-0,201,May 21 1991,us,3,Murray State University
31,R.J. Hunter\hunterj01,SG,6-5,185,October 24 1993,us,1,Georgia State University

21,Tony Snell\snellto01,SF,6-7,200,November 10 1991,us,3,University of New Mexico
31,John Henson\hensojo01,C,6-11,229,December 28 1990,us,4,University of North Carolina
34,Giannis Antetokounmpo\antetgi01,SG,6-11,222,December 6 1994,gr,3,
12,Jabari Parker\parkeja01,SF,6-8,250,March 15 1995,us,2,Duke University
20,Rashad Vaughn\vaughra01,SG,6-6,202,August 16 1996,us,1,University of Nevada Las Vegas
22,Khris Middleton\middlkh01,SG,6-8,234,August 12 1991,us,4,Texas A&M University
15,Greg Monroe\monrogr01,C,6-11,265,June 4 1990,us,6,Georgetown University
9,Michael Beasley\beaslmi01,SF,6-9,235,January 9 1989,us,8,Kansas State University
35,Mirza Teletovic\teletmi01,PF,6-9,242,September 18 1985,ba,4,
